Kod;NAZWA;Owner;User;ComputerIP;Version
2477;Tychy;Admin;Admin;localhost;
2478;Zabrze;Admin;Admin;localhost;
2479;Żory;Admin;Admin;localhost;
2601;buski;Admin;Admin;localhost;
2602;jędrzejowski;Admin;Admin;localhost;
2603;kazimierski;Admin;Admin;localhost;
2604;kielecki;Admin;Admin;localhost;
2605;konecki;Admin;Admin;localhost;
2606;opatowski;Admin;Admin;localhost;
2607;ostrowiecki;Admin;Admin;localhost;
2608;pińczowski;Admin;Admin;localhost;
2609;sandomierski;Admin;Admin;localhost;
2610;skarżyski;Admin;Admin;localhost;
2611;starachowicki;Admin;Admin;localhost;
2612;staszowski;Admin;Admin;localhost;
2613;włoszczowski;Admin;Admin;localhost;
2661;Kielce;Admin;Admin;localhost;
2801;bartoszycki;Admin;Admin;localhost;
2802;braniewski;Admin;Admin;localhost;
2803;działdowski;Admin;Admin;localhost;
2804;elbląski;Admin;Admin;localhost;
2805;ełcki;Admin;Admin;localhost;
2806;giżycki;Admin;Admin;localhost;
2807;iławski;Admin;Admin;localhost;
2808;kętrzyński;Admin;Admin;localhost;
2809;lidzbarski;Admin;Admin;localhost;
2810;mrągowski;Admin;Admin;localhost;
2811;nidzicki;Admin;Admin;localhost;
2812;nowomiejski;Admin;Admin;localhost;
2813;olecki;Admin;Admin;localhost;
2814;olsztyński;Admin;Admin;localhost;
2815;ostródzki;Admin;Admin;localhost;
2816;piski;Admin;Admin;localhost;
2817;szczycieński;Admin;Admin;localhost;
2818;gołdapski;Admin;Admin;localhost;
2819;węgorzewski;Admin;Admin;localhost;
2861;Elbląg;Admin;Admin;localhost;
2862;Olsztyn;Admin;Admin;localhost;
3001;chodzieski;Admin;Admin;localhost;
3002;czarnkowsko-trzcianecki;Admin;Admin;localhost;
3003;gnieźnieński;Admin;Admin;localhost;
3004;gostyński;Admin;Admin;localhost;
3005;grodziski;Admin;Admin;localhost;
3006;jarociński;Admin;Admin;localhost;
3007;kaliski;Admin;Admin;localhost;
3008;kępiński;Admin;Admin;localhost;
3009;kolski;Admin;Admin;localhost;
3010;koniński;Admin;Admin;localhost;
3011;kościański;Admin;Admin;localhost;
3012;krotoszyński;Admin;Admin;localhost;
3013;leszczyński;Admin;Admin;localhost;
3014;międzychodzki;Admin;Admin;localhost;
3015;nowotomyski;Admin;Admin;localhost;
3016;obornicki;Admin;Admin;localhost;
3017;ostrowski;Admin;Admin;localhost;
3018;ostrzeszowski;Admin;Admin;localhost;
3019;pilski;Admin;Admin;localhost;
3020;pleszewski;Admin;Admin;localhost;
3021;poznański;Admin;Admin;localhost;
3022;rawicki;Admin;Admin;localhost;
3023;słupecki;Admin;Admin;localhost;
3024;szamotulski;Admin;Admin;localhost;
3025;średzki;Admin;Admin;localhost;
3026;śremski;Admin;Admin;localhost;
3027;turecki;Admin;Admin;localhost;
3028;wągrowiecki;Admin;Admin;localhost;
3029;wolsztyński;Admin;Admin;localhost;
3030;wrzesiński;Admin;Admin;localhost;
3031;złotowski;Admin;Admin;localhost;
3061;Kalisz;Admin;Admin;localhost;
3062;Konin;Admin;Admin;localhost;
3063;Leszno;Admin;Admin;localhost;
3064;Poznań;Admin;Admin;localhost;
3201;białogardzki;Admin;Admin;localhost;
3202;choszczeński;Admin;Admin;localhost;
3203;drawski;Admin;Admin;localhost;
3204;goleniowski;Admin;Admin;localhost;
3205;gryficki;Admin;Admin;localhost;
3206;gryfiński;Admin;Admin;localhost;
3207;kamieński;Admin;Admin;localhost;
3208;kołobrzeski;Admin;Admin;localhost;
3209;koszaliński;Admin;Admin;localhost;
3210;myśliborski;Admin;Admin;localhost;
3211;policki;Admin;Admin;localhost;
3212;pyrzycki;Admin;Admin;localhost;
3213;sławieński;Admin;Admin;localhost;
3214;stargardzki;Admin;Admin;localhost;
3215;szczecinecki;Admin;Admin;localhost;
3216;świdwiński;Admin;Admin;localhost;
3217;wałecki;Admin;Admin;localhost;
3218;łobeski;Admin;Admin;localhost;
3261;Koszalin;Admin;Admin;localhost;
3262;Szczecin;Admin;Admin;localhost;
3263;Świnoujście;Admin;Admin;localhost;
