Kod;NAZWA;Owner;User;ComputerIP;Version
0612012;Chodel;Admin;Admin;localhost;
0612022;Józefów nad Wisłą;Admin;Admin;localhost;
0612032;Karczmiska;Admin;Admin;localhost;
0612042;Łaziska;Admin;Admin;localhost;
0612053;Opole Lubelskie;Admin;Admin;localhost;
0612063;Poniatowa;Admin;Admin;localhost;
0612072;Wilków;Admin;Admin;localhost;
0613012;Dębowa Kłoda;Admin;Admin;localhost;
0613022;Jabłoń;Admin;Admin;localhost;
0613032;Milanów;Admin;Admin;localhost;
0613043;Parczew;Admin;Admin;localhost;
0613052;Podedwórze;Admin;Admin;localhost;
0613062;Siemień;Admin;Admin;localhost;
0613072;Sosnowica;Admin;Admin;localhost;
0614011;Puławy;Admin;Admin;localhost;
0614022;Baranów;Admin;Admin;localhost;
0614032;Janowiec;Admin;Admin;localhost;
0614043;Kazimierz Dolny;Admin;Admin;localhost;
0614052;Końskowola;Admin;Admin;localhost;
0614062;Kurów;Admin;Admin;localhost;
0614072;Markuszów;Admin;Admin;localhost;
0614083;Nałęczów;Admin;Admin;localhost;
0614092;Puławy;Admin;Admin;localhost;
0614102;Wąwolnica;Admin;Admin;localhost;
0614112;Żyrzyn;Admin;Admin;localhost;
0615011;Radzyń Podlaski;Admin;Admin;localhost;
0615022;Borki;Admin;Admin;localhost;
0615032;Czemierniki;Admin;Admin;localhost;
0615042;Kąkolewnica;Admin;Admin;localhost;
0615052;Komarówka Podlaska;Admin;Admin;localhost;
0615062;Radzyń Podlaski;Admin;Admin;localhost;
0615072;Ulan-Majorat;Admin;Admin;localhost;
0615082;Wohyń;Admin;Admin;localhost;
0616011;Dęblin;Admin;Admin;localhost;
0616022;Kłoczew;Admin;Admin;localhost;
0616032;Nowodwór;Admin;Admin;localhost;
0616043;Ryki;Admin;Admin;localhost;
0616052;Stężyca;Admin;Admin;localhost;
0616062;Ułęż;Admin;Admin;localhost;
0617011;Świdnik;Admin;Admin;localhost;
0617022;Mełgiew;Admin;Admin;localhost;
0617033;Piaski;Admin;Admin;localhost;
0617042;Rybczewice;Admin;Admin;localhost;
0617052;Trawniki;Admin;Admin;localhost;
0618011;Tomaszów Lubelski;Admin;Admin;localhost;
0618022;Bełżec;Admin;Admin;localhost;
0618032;Jarczów;Admin;Admin;localhost;
0618042;Krynice;Admin;Admin;localhost;
0618053;Lubycza Królewska;Admin;Admin;localhost;
0618063;Łaszczów;Admin;Admin;localhost;
0618072;Rachanie;Admin;Admin;localhost;
0618082;Susiec;Admin;Admin;localhost;
0618092;Tarnawatka;Admin;Admin;localhost;
0618102;Telatyn;Admin;Admin;localhost;
0618112;Tomaszów Lubelski;Admin;Admin;localhost;
0618123;Tyszowce;Admin;Admin;localhost;
0618132;Ulhówek;Admin;Admin;localhost;
0619011;Włodawa;Admin;Admin;localhost;
0619022;Hanna;Admin;Admin;localhost;
0619032;Hańsk;Admin;Admin;localhost;
0619042;Stary Brus;Admin;Admin;localhost;
0619052;Urszulin;Admin;Admin;localhost;
0619062;Włodawa;Admin;Admin;localhost;
0619072;Wola Uhruska;Admin;Admin;localhost;
0619082;Wyryki;Admin;Admin;localhost;
0620012;Adamów;Admin;Admin;localhost;
0620022;Grabowiec;Admin;Admin;localhost;
0620032;Komarów-Osada;Admin;Admin;localhost;
0620043;Krasnobród;Admin;Admin;localhost;
0620052;Łabunie;Admin;Admin;localhost;
0620062;Miączyn;Admin;Admin;localhost;
0620072;Nielisz;Admin;Admin;localhost;
0620082;Radecznica;Admin;Admin;localhost;
0620092;Sitno;Admin;Admin;localhost;
0620102;Skierbieszów;Admin;Admin;localhost;
0620112;Stary Zamość;Admin;Admin;localhost;
0620122;Sułów;Admin;Admin;localhost;
0620133;Szczebrzeszyn;Admin;Admin;localhost;
0620142;Zamość;Admin;Admin;localhost;
0620153;Zwierzyniec;Admin;Admin;localhost;
0661011;Biała Podlaska;Admin;Admin;localhost;
0662011;Chełm;Admin;Admin;localhost;
0663011;Lublin;Admin;Admin;localhost;
